No.,Term,Korean Term,Definition,Korean Definition
401,superdiversity,초다양성,"a diversification of diversity due to the multilateral flow of people, goods, and ideas across borders","국경을 넘는 사람, 재화, 사상의 다자간 흐름으로 인해 다양성이 복합적으로 다변화된 현상"
402,supply items,선택형 문항 (원문 기준),"response options from which a test-taker can choose","수험자가 선택할 수 있는 응답 선택지"
403,syllabus,교수요목 (실라버스),"a curriculum; also specifications of topics, forms, assignments, and schedules for completion of a course","교육과정이자 특정 코스를 완료하기 위한 세부 주제, 과제, 스케줄의 명세서"
404,systematicity,체계성,"consistency and predictability in learner language","학습자 언어 산출 시 예측이 가능하고 나름의 규칙성을 지니는 논리적 일관성의 속성"
405,tactics,전술,"specific manifestations or techniques within a metastrategy (or category of strategy) by a learner in a given setting for a particular purpose.","주어진 환경 속 특정 목적을 위해 학습자가 활용하는 메타전략 내의 구체적인 표출 방법 혹은 기술"
406,target tasks,목표 과업,"uses of language in the world beyond the classroom that become the focus of classroom instruction","교실을 벗어난 실생활에서의 언어 사용을 말하며, 교실 내 과업 수업의 주된 초점이 되는 실세계 과제"
407,task,과업,"a classroom activity in which meaning is primary, there is a problem to solve, a relationship to real-world activities, and an objective that can be assessed in terms of an outcome","의미 전달을 우선시하여 해결해야 할 문제와 현실적 관련성, 그리고 결과적 측면에서 평가 가능한 목표를 갖춘 활동"
408,task-based assessment,과업 기반 평가,"assessments that involve learners in actually performing the behavior that one purports to measure","단순 지식 측정이 아닌, 측정하고자 하는 목표 행동을 학습자가 실제로 수행해 보도록 요구하는 평가"
409,Task-Based Language Teaching (TBLT),과업 중심 언어 교수법,"an approach to language instruction that focuses on tasks (see task)","유의미하고 상호작용적인 실생활 과업(task)을 교수 요목의 핵심으로 삼는 언어 교육 접근법"
410,teacher-centered instruction,교사 중심 교육,"the teacher controls everything; students speak only when called upon","교사가 수업의 전권을 통제하며 지시받은 경우에만 학생이 소극적으로 말하게 되는 교육 양식"
411,teaching styles,교수 유형,"particular preferences of a teacher's performance that reflects his or her personality, values, and beliefs and that can vary greatly from individual to individual","가치관과 성격을 반영하여 개인에 따라 다양하게 표출되는 교사 특유의 수업 전개 선호도"
412,techniques,기법,"any of a wide variety of exercises, activities, procedures, or tasks used in the language classroom for realizing lesson objectives","수업 목표를 실현하기 위해 언어 교실에서 교사가 행하는 구체적인 연습, 활동, 절차, 훈련 기법들"
413,tension,긴장,"a neutral concept that includes both dysphoric and euphoric effects in learning a foreign language","외국어 학습 시 이롭거나 방해되는 두 가지 효과(부정적/긍정적 불안)를 포괄하는 가치 중립적 개념"
414,terminal objective,최종 목표,"final learning outcome","교육 과정 끝에 학습자가 궁극적으로 이룩해야 할 최종적인 학습 산출 결과"
415,termination (of a topic),화제 종료,"in a conversation, strategies for ending the conversation","대화에서 적절하게 화제를 마무리 짓거나 대화 자체를 원만하게 끝맺는 전략"
416,test,평가 (시험),"a method (usually an instrument) that systematically measures a person's ability or knowledge in a given domain","주어진 특정 영역에서 개인의 능력이나 습득 지식을 체계적으로 계량하고 측정하는 절차나 도구"
417,test-wiseness,시험 치는 요령,"knowledge of strategies for guessing, maximizing the speed, or otherwise optimizing test task performance","답을 추측하고 풀이 속도를 극대화하는 등 시험 수행 능력을 최적화하기 위한 전략적 지식 및 요령"
418,theme-based instruction,주제 중심 교수법,"an organizing framework for a language course that transcends formal or structural requirements in a curriculum and focuses on meaningful topics as organizing elements of units and lessons","형태적 구조를 초월해 학습자에게 흥미로운 주제(Theme)를 중심으로 단원과 수업을 통합해 구성하는 접근법"
419,tokens (in a reading passage),토큰 (어표),"all the separate words; as opposed to types","읽기 지문에 쓰인 모든 분리 가능한 각 낱낱의 단어 개수 총합 (어형인 type과 대비됨)"
420,top-down processing,하향식 처리과정,"activation of schemata to derive meaning, global understanding, and interpretation of a text","배경지식(스키마)을 능동적으로 활성화하여 텍스트의 전반적인 의미를 도출하고 해석해 내는 하향식 이해 과정"
421,topic development,화제 전개,"maintaining a topic in a conversation.","대화 시 제시된 화제를 원만히 유지하고 발전시켜 나가는 담화 전략"
422,topic nomination,화제 제시,"proposing a topic for discussion in a conversation.","대화 도중에 함께 논의할 새로운 화제거리를 던지거나 제안하는 화용론적 기능"
423,topic-based,화제 중심,"see theme-based instruction","주제 중심 교수법(theme-based instruction) 참조"
424,Total Physical Response (TPR),전신 반응 교수법,"a language teaching method relying on physical or kinesthetic movement accompanied by language practice","초급 단계에서 교사의 지시어에 맞추어 언어 연습과 전신 운동을 결합하는 듣기 중심의 언어 교수법"
425,transaction,거래 (상호 교류),"a social interaction through which one 'reveals' thoughts, ideas, or feelings to another person.","자신의 생각이나 사상, 감정 등을 다른 사람에게 명확하게 '드러내는' 사회적 상호작용 과정"
426,transactional dialogue,정보 전달적 대화,"two or more speakers' exchanges to convey propositional or factual information","사실적 정보 혹은 명제적 정보를 정확하게 전달하기 위한 화자들 간의 실용적이고 목적 지향적인 대화"
427,transfer,전이,"the carryover of previous performance or knowledge to previous or subsequent learning","과거에 습득했던 지식이나 행동 패턴이 이후의 새로운 학습 단계로 넘어가 영향을 미치는 것"
428,translanguaging,교차 언어 사용 (트랜스랭귀징),"code-switching or translating in reading, writing, discussing, notetaking, or singing, a strategy in which bilingual students and teachers engage in multiple discursive practices in order to make sense of meanings and functions of target forms","의미 파악을 위해 여러 이중언어를 역동적으로 넘나들며 목표 언어 형태의 기능에 의미를 부여하는 실천 방식"
429,translingual meshing,횡단 언어적 융합,"two or more languages in transformative ways, generating new forms, meanings, or uses through situated interactions","상황적 상호작용을 통해 두 가지 이상의 언어가 융합하여 새로운 의미, 형태, 용도를 창출해 내는 방식"
430,triangulation (of assessments),다각화 (평가의),"using two or more performances on an assessment, or two or more different assessments to make a decision about a person's ability","학습자의 능력에 대한 판단 신뢰도를 높이기 위해 여러 평가 자료 및 관찰 기록을 다각도로 교차 검증하는 과정"
431,turn-taking,차례 교대 (턴테이킹),"in a conversation, conventions in which participants allow appropriate opportunities for others to talk, or ""take the floor""","대화 시에 화자가 다른 사람에게 말할 기회를 내주거나 대화의 주도권을 가져오는 일련의 상호작용 관습"
432,type,유형,"a general class of linguistic features, within which a number of specific words or structures may be used (vs. token).","특정 단어나 구조가 사용될 수 있는 일반적 범주, 혹은 지문에 쓰인 서로 다른 단어의 개수"
433,types (in a reading passage),타입 (어형),"repeated words that are not counted; as opposed to tokens","읽기 지문에 등장한 단어들 중 중복을 뺀 서로 다르고 고유한 어휘 형태의 수 (tokens와 반대됨)"
434,U-shaped learning,U자형 학습,"the phenomenon of moving from a correct form to an incorrect form and then back to correctness","학습자가 처음에 올바른 형태를 사용하다가 발달 중간에 잘못된 형태를 산출하고 다시 규칙화하는 언어 발달 형태"
435,unconditioned response,무조건 반응,"in behavioral learning theory, a natural biological response to a stimulus, not elicited by an outside agent.","행동주의 심리학에서 무조건 자극에 의해 선천적으로 즉각 발생하는 생물학적이고 자연스러운 유도 반응"
436,unitary trait hypothesis,단일 특성 가설,"the position that vocabulary, grammar, the ""four skills,"" and other discrete points of language cannot be disentangled from each other in language performance","언어 수행 시 어휘, 문법, 4가지 기능 등의 언어 요소들은 개별 분리할 수 없게 통합되어 존재한다는 입장"
437,uptake,업테이크 (발화 수용),"a student utterance that immediately follows a teacher's feedback and that constitutes a reaction in some way to the teacher's intention to draw attention to some aspect of the student's initial utterance","교사의 오류 수정 피드백이 주어진 직후에 학생이 그 의도를 받아들여 보여주는 수정된 반응 산출물"
438,use,언어 사용,"meanings of utterances across different contexts and cohesion in discourse","서로 다른 화용론적 맥락에 따른 다양한 발화 의미와 담화에서의 결속성을 의미함"
439,usefulness (of a test),유용성 (평가의),"the extent to which a test accomplishes its intended objectives","타당성, 신뢰성, 파급효과 등을 모두 아울러 시험이 본래 의도된 목표를 전반적으로 성취하는 효율성의 정도"
440,validity (of a test),타당도,"the degree to which a test actually measures what it is intended to measure","시험이 본래 측정하고자 의도한 구인을 실제로 얼마나 오차 없이 잘 측정해 내는지의 정도"
441,variation,변이,"instability in learners' linguistic systems.","학습자 언어 체계가 환경과 맥락 등에 따라 안정되지 않고 서로 다르게 출현하는 불안정성이나 변동"
442,vocational L2 instruction,직업 제2언어 교육,"part of an adult education program that provides preemployment language training, typically including basic academic language skills along with specialized occupational contexts","특정 직업적 맥락의 어휘와 더불어 취업 전 기본적 언어 훈련을 제공하는 성인 대상의 직업 교육 프로그램"
443,washback,환류 효과 (세면 효과),"the effects, both beneficial and detrimental, of an assessment on teaching and learning prior to and after the assessment itself","평가가 평가 자체 전후로 교사들의 교수와 학생들의 학습에 긍정적 혹은 부정적으로 미치는 파급 효과"
444,weak version,약형 (가설의)," (of the contrastive analysis hypothesis, and other models) the belief in the possibility, a posteriori, that a model might apply to a specified context, once contextual variables are taken into account, as opposed to a claim for predictive validity (strong version) across broad contexts.","(대조 분석 가설에서) 광범위한 맥락에 걸친 예측 타당성(강형) 주장이 아니라, 변수를 고려하면 모델이 특정 상황에 적용될 수 영다는 사후 관점"
445,weighting,가중치 부여,"assigning a higher or lower value to an item based on its importance or difficulty","문항의 중요도나 난이도에 따라 평가 시 일부 문항에 더 높거나 낮은 가치와 점수를 배정하는 방식"
446,whole language education,총체적 언어 교육,"an emphasis on the interconnections between oral and written language and the integration of all four skills","언어를 조각내지 않고 구어와 문어의 상호 연결성 및 모든 기능(듣기, 말하기, 읽기, 쓰기)의 통합을 강조하는 교육"
447,willingness to communicate (WTC),의사소통 의지,"a state of readiness to engage in the L2, the culmination of processes that prepare the learner to initiate L2 communication with a specific person at a specific time","특정 사람과 특정 시간에 목표어로 대화할 준비가 된 상태로 적극적으로 상호작용하려는 학습자의 참여 의지"
448,workplace L2 instruction,직장 제2언어 교육,"tailoring language to the specific linguistic needs of carrying out one's duties ""on the job""","직장에서 수행해야 할 구체적인 업무의 언어적 요구 사항에 맞춰 언어를 조정하여 가르치는 교육"
449,world Englishes,세계 영어,"varieties of English spoken and written in many different countries, especially those not in the traditional 'inner circle.'","전통적인 모국어 중심(Inner circle)이 아닌 국가들에서 다양한 변이형으로 쓰이고 말해지는 영어들"
450,zone of proximal development (ZPD),근접 발달 영역,"the distance between a learner's existing developmental state and his or her potential development","학습자가 스스로 도달할 수 있는 기존의 상태와 타인의 도움으로 도달 가능한 잠재적 발달 영역 간의 거리"
